AMEX-HDV,89.68,1534601258815,2,0,1,2,2,1,0,0,0,0
NYSE-HL,2.74,1534601288317,-1,0,-1,-1,-1,-1,0,0,0,0
NASDAQ-HMNY,0.029,1534601312904,-1,0,-1,-1,-1,-2,0,0,0,0
NYSE-HMY,1.49,1534601337943,-1,0,-2,-1,-2,-1,-1,0,0,0
NASDAQ-HOLI,21.11,1534601363098,-1,0,-1,-1,-1,-1,0,0,0,0
AMEX-IAU,11.35,1534601397033,-1,0,-1,-1,-1,-1,0,0,0,0
NYSE-IBM,0,1534601428391,0,0,1,1,-1,-1,0,0,0,0
NYSE-ICE,74.05,1534601452787,1,0,1,1,1,1,0,0,0,0
NYSE-ICL,5.2,1534601477132,1,0,1,1,1,1,0,0,0,0
AMEX-IDV,32.51,1534601507097,-1,0,-1,-1,-1,-1,0,0,0,0
NYSE-IFF,132.16,1534601536110,1,0,1,1,0,0,0,0,0,0
AMEX-IGRO,55.262,1534601560671,-1,0,-1,-1,-1,-1,0,0,0,0
NASDAQ-INTC,47.1,1534601589642,0,0,-1,-1,-1,1,0,0,0,0
NYSE-IPI,3.29,1534601614246,-1,0,-1,-1,-1,-1,0,0,0,0
NASDAQ-IPIC,7,1534601642228,0,0,0,-1,-1,0,-1,0,0,0
NASDAQ-IRBT,94.77,1534601667017,2,1,1,2,2,1,2,0,0,0
NASDAQ-JAGX,0.9054,1534601691572,-1,0,-1,-1,-1,-1,0,0,0,0
NYSE-JNJ,134.47,1534601717709,1,0,1,1,2,1,0,0,0,0
NYSE-JPM,114.77,1534601743722,1,0,-1,1,1,1,0,0,0,0
NASDAQ-KALA,12.14,1534601768711,-2,0,-2,-1,-2,-2,0,0,0,0
NASDAQ-LRCX,169.91,1534601792655,-1,0,-2,-1,-1,1,-1,0,0,0
