TSX-FTS,33.35,1534572279424,1,0,1,1,1,1,0,0,0,0,TSX,FTS,1
NYSE-FTV,80.25,1534572302091,1,0,1,2,1,1,0,0,0,0,NYSE,FTV,1
AMEX-FXI,41.51,1534572324975,-1,0,-1,-2,-1,-1,0,0,0,0,AMEX,FXI,-1
AMEX-GDX,18.71,1534572348011,-1,0,-1,-1,-1,-1,0,0,0,0,AMEX,GDX,-1
AMEX-GDXJ,27.49,1534572371074,-1,0,-1,-1,-1,-2,0,0,0,0,AMEX,GDXJ,-1
NYSE-GE,12.3,1534572394038,-1,0,-1,-1,-1,-1,0,0,0,0,NYSE,GE,-1
NASDAQ-GERN,3.92,1534572416964,1,0,1,1,1,1,0,0,0,0,NASDAQ,GERN,1
NYSE-GG,10.74,1534572440265,-1,0,-1,-1,-1,-1,0,0,0,0,NYSE,GG,-1
NASDAQ-GILD,72.92,1534572463313,-1,0,-1,-1,-1,-1,0,0,0,0,NASDAQ,GILD,-1
NYSE-GME,15.33,1534572486445,1,0,1,1,1,-1,0,0,0,0,NYSE,GME,1
NASDAQ-GOOG,1200.96,1534598913822,0,0,-1,-1,2,1,0,0,0,0,NASDAQ,GOOG,0
NASDAQ-GOOGL,1215.85,1534598937057,1,0,-1,-1,2,2,0,0,0,0,NASDAQ,GOOGL,1
AMEX-GSAT,0.537,1534572573637,0,0,1,1,-1,-1,0,0,0,0,AMEX,GSAT,0
AMEX-GTE,3.1,1534572552449,0,0,-1,-1,0,1,0,0,0,0,AMEX,GTE,0
NYSE-HASI,20.96,1534572595433,1,0,1,2,1,1,0,0,0,0,NYSE,HASI,1
NYSE-HBM,4.65,1534605235631,-1,0,-1,-1,-1,-1,0,0,0,0,NYSE,HBM,-1
AMEX-HDV,89.68,1534572640057,2,0,1,2,2,1,0,0,0,0,AMEX,HDV,2
NYSE-HL,2.74,1534572662821,-1,0,-1,-1,-1,-1,0,0,0,0,NYSE,HL,-1
NASDAQ-HMNY,0.029,1534572683953,-1,0,-1,-1,-1,-2,0,0,0,0,NASDAQ,HMNY,-1
NYSE-HMY,1.49,1534572706505,-1,0,-2,-1,-2,-1,-1,0,0,0,NYSE,HMY,-1
NASDAQ-HOLI,21.11,1534605356527,-1,0,-1,-1,-1,-1,0,0,0,0,NASDAQ,HOLI,-1
AMEX-IAU,11.35,1534572749575,-1,0,-1,-1,-1,-1,0,0,0,0,AMEX,IAU,-1
NYSE-IBM,146.06,1534572770561,0,0,1,1,-1,-1,0,0,0,0,NYSE,IBM,0
NYSE-ICE,74.05,1534572791468,1,0,1,1,1,1,0,0,0,0,NYSE,ICE,1
NYSE-ICL,5.2,1534572813470,1,0,1,1,1,1,0,0,0,0,NYSE,ICL,1
AMEX-IDV,32.51,1534572834766,-1,0,-1,-1,-1,-1,0,0,0,0,AMEX,IDV,-1
NYSE-IFF,132.16,1534572856481,1,0,1,1,0,0,0,0,0,0,NYSE,IFF,1
AMEX-IGRO,55.262,1534572876836,-1,0,-1,-1,-1,-1,0,0,0,0,AMEX,IGRO,-1
NASDAQ-INTC,47.1,1534572898243,0,0,-1,-1,-1,1,0,0,0,0,NASDAQ,INTC,0
NYSE-IPI,3.29,1534572920553,-1,0,-1,-1,-1,-1,0,0,0,0,NYSE,IPI,-1
NASDAQ-IPIC,7.0,1534572942003,0,0,0,-1,-1,0,-1,0,0,0,NASDAQ,IPIC,0
NASDAQ-IRBT,94.77,1534572963637,2,1,1,2,2,1,2,0,0,0,NASDAQ,IRBT,1
NASDAQ-JAGX,0.905,1534572984816,-1,0,-1,-1,-1,-1,0,0,0,0,NASDAQ,JAGX,-1
NYSE-JNJ,134.47,1534573005555,1,0,1,1,2,1,0,0,0,0,NYSE,JNJ,1
