NYSE-BAC,30.74,1534567801002,1,0,-1,1,1,1,0,0,0,0
NASDAQ-BOTZ,21.82,1534567823542,-1,0,-1,-2,-1,1,0,0,0,0
AMEX-BTG,2.16,1534567845090,-1,0,-1,-1,-1,-1,0,0,0,0
NYSE-C,69.67,1534567867462,0,0,-1,-1,1,1,0,0,0,0
NYSE-CBL,4.59,1534567888610,-1,0,-1,-1,-1,-1,0,0,0,0
NYSE-CCI,113.86,1534567911310,2,0,2,2,2,1,0,0,0,0
NASDAQ-CDTI,0.4079,1534567936779,-1,0,-1,-1,-1,-1,0,0,0,0
NASDAQ-CELG,90.37,1534567959614,0,0,-1,1,0,-1,1,0,0,0
NYSE-CF,47.52,1534567981036,1,0,1,1,1,1,0,0,0,0
NASDAQ-CGNX,52.43,1534568003393,1,0,1,1,1,1,0,0,0,0
NASDAQ-CIBR,27.07,1534568024696,1,0,2,1,1,1,1,0,0,0
NYSE-CINR,27.1,1534568048624,1,0,1,-1,1,1,-1,0,0,0
NASDAQ-CMCSA,35.6,1534568070049,1,0,2,1,1,0,1,0,0,0
NYSE-CMP,61.15,1534568093096,-1,0,-1,-1,-1,-1,0,0,0,0
AMEX-COPX,20.96,1534568118592,-1,0,-1,-1,-1,-1,0,0,0,0
NASDAQ-CRSP,48.67,1534568144376,0,0,-1,-1,-1,1,0,0,0,0
NYSE-CWT,41.05,1534568168342,1,0,1,1,1,1,0,0,0,0
NASDAQ-CY,16.02,1534568192460,0,0,-1,-1,-1,1,0,0,0,0
NYSE-D,71.75,1534568215813,1,0,2,1,1,-1,1,0,0,0
NYSE-DAL,55.65,1534568243696,1,1,1,2,1,1,2,0,0,0
AMEX-DGRO,36.73,1534568267707,2,0,1,1,2,2,0,0,0,0
NYSE-DIS,112.48,1534568291133,1,0,-1,1,1,2,0,0,0,0
NYSE-DUK,82.28,1534568314921,2,1,1,2,2,1,2,0,0,0
NASDAQ-DVY,101.4,1534568338175,2,1,1,2,2,1,2,0,0,0
NYSE-ECR,1.58,1534568360691,-1,0,-1,-1,-1,-1,0,0,0,0
NASDAQ-EDIT,29.86,1534568384062,0,0,-1,-1,-1,1,0,0,0,0
NYSE-EGO,0.9381,1534568406710,-1,0,-1,-1,-1,-1,0,0,0,0
NASDAQ-EKSO,2.72,1534568429832,1,2,1,2,1,1,2,1,2,1
TSX-ENB,36.03,1534568452858,1,0,1,1,1,-1,0,0,0,0
NYSE-ETN,81,1534568476504,1,0,1,1,1,1,0,0,0,0
NYSE-EXG,9.58,1534568498342,2,0,2,1,2,1,1,0,0,0
NYSE-EXK,2.2,1534568520359,-1,0,-1,-1,-2,-1,0,0,0,0
AMEX-EWA,22.99,1534568541357,2,0,2,1,1,2,1,0,0,0
