NASDAQ-CDTI,1534556088943,-1,0,-1,-1,-1,-1,0,0,0,0
NASDAQ-CELG,1534556103907,0,0,1,1,0,-1,0,0,0,0
NYSE-CF,1534556120183,1,0,1,1,1,1,0,0,0,0
NASDAQ-CGNX,1534556135381,1,0,1,1,1,1,0,0,0,0
